stimulus_number,stim_fn,question,answer_choice_1,answer_choice_2
506,2013-03-0049_506.jpg,question,yes,no
507,2013-03-0050_507.jpg,question,yes,no
508,2013-03-0052_508.jpg,question,yes,no
509,2013-03-0053_509.jpg,question,yes,no
510,2013-03-0055_510.jpg,question,yes,no
511,2013-03-0057_511.jpg,question,yes,no
512,2013-03-0062_512.jpg,question,yes,no
513,2013-03-0063_513.jpg,question,yes,no
514,2013-03-0064_514.jpg,question,yes,no
515,2013-03-0065_515.jpg,question,yes,no
516,2013-03-0066_516.jpg,question,yes,no
517,2013-03-0069_517.jpg,question,yes,no
518,2013-03-0070_518.jpg,question,yes,no
519,2013-03-0071_519.jpg,question,yes,no
520,2013-03-0072_520.jpg,question,yes,no
521,2013-03-0075_521.jpg,question,yes,no
522,2013-03-0078_522.jpg,question,yes,no
523,2013-03-0079_523.jpg,question,yes,no
524,2013-03-0080_524.jpg,question,yes,no
525,2013-03-0083_525.jpg,question,yes,no
526,2013-03-0091_526.jpg,question,yes,no
527,2013-03-0092_527.jpg,question,yes,no
528,2013-03-0093_528.jpg,question,yes,no
529,2013-03-0094_529.jpg,question,yes,no
530,2013-03-0095_530.jpg,question,yes,no
531,2013-03-0096_531.jpg,question,yes,no
532,2013-03-0097_532.jpg,question,yes,no
533,2013-03-0098_533.jpg,question,yes,no
534,2013-03-0100_534.jpg,question,yes,no
535,2013-03-0101_535.jpg,question,yes,no
536,2013-03-0102_536.jpg,question,yes,no
537,2013-03-0103_537.jpg,question,yes,no
538,2013-03-0106_538.jpg,question,yes,no
539,2013-03-0107_539.jpg,question,yes,no
540,2013-03-0108_540.jpg,question,yes,no
541,2013-03-0109_541.jpg,question,yes,no
542,2013-03-0111_542.jpg,question,yes,no
543,2013-03-0113_543.jpg,question,yes,no
544,2013-03-0114_544.jpg,question,yes,no
545,2013-03-0116_545.jpg,question,yes,no
546,2013-03-0117_546.jpg,question,yes,no
547,2013-03-0120_547.jpg,question,yes,no
548,2013-03-0121_548.jpg,question,yes,no
549,2013-03-0123_549.jpg,question,yes,no
550,2013-03-0124_550.jpg,question,yes,no
551,2013-03-0125_551.jpg,question,yes,no
552,2013-03-0128_552.jpg,question,yes,no
553,2013-03-0131_553.jpg,question,yes,no
554,2013-03-0133_554.jpg,question,yes,no
555,2013-03-0134_555.jpg,question,yes,no
556,2013-03-0137_556.jpg,question,yes,no
557,2013-03-0138_557.jpg,question,yes,no
558,2013-03-0139_558.jpg,question,yes,no
559,2013-03-0140_559.jpg,question,yes,no
560,2013-03-0141_560.jpg,question,yes,no
561,2013-03-0144_561.jpg,question,yes,no
562,2013-03-0145_562.jpg,question,yes,no
563,2013-03-0150_563.jpg,question,yes,no
564,2013-04-0001_564.jpg,question,yes,no
565,2013-04-0002_565.jpg,question,yes,no
566,2013-04-0007_566.jpg,question,yes,no
567,2013-04-0009_567.jpg,question,yes,no
568,2013-04-0010_568.jpg,question,yes,no
569,2013-04-0011_569.jpg,question,yes,no
570,2013-04-0012_570.jpg,question,yes,no
571,2013-04-0013_571.jpg,question,yes,no
572,2013-04-0015_572.jpg,question,yes,no
573,2013-04-0018_573.jpg,question,yes,no
574,2013-04-0020_574.jpg,question,yes,no
575,2013-04-0024_575.jpg,question,yes,no
576,2013-04-0025_576.jpg,question,yes,no
577,2013-04-0026_577.jpg,question,yes,no
578,2013-04-0028_578.jpg,question,yes,no
579,2013-04-0030_579.jpg,question,yes,no
580,2013-04-0031_580.jpg,question,yes,no
581,2013-04-0033_581.jpg,question,yes,no
582,2013-04-0034_582.jpg,question,yes,no
583,2013-04-0035_583.jpg,question,yes,no
584,2013-04-0037_584.jpg,question,yes,no
585,2013-04-0038_585.jpg,question,yes,no
586,2013-04-0039_586.jpg,question,yes,no
587,2013-04-0042_587.jpg,question,yes,no
588,2013-04-0045_588.jpg,question,yes,no
589,2013-04-0046_589.jpg,question,yes,no
590,2013-04-0047_590.jpg,question,yes,no
591,2013-04-0049_591.jpg,question,yes,no
592,2013-04-0052_592.jpg,question,yes,no
593,2013-04-0054_593.jpg,question,yes,no
594,2013-04-0055_594.jpg,question,yes,no
595,2013-04-0058_595.jpg,question,yes,no
596,2013-04-0062_596.jpg,question,yes,no
597,2013-04-0063_597.jpg,question,yes,no
598,2013-04-0064_598.jpg,question,yes,no
599,2013-04-0066_599.jpg,question,yes,no
600,2013-04-0067_600.jpg,question,yes,no
601,2013-04-0068_601.jpg,question,yes,no
